GMDN,Short Desp,Long Desp
33711,Total reverse shoulder prosthesis,"A sterile implantable artificial substitute for a shoulder joint designed to replace both articulating surfaces of the joint particularly in patients with chronic, longstanding rotator cuff muscle tears, arthritis, and/or humeral fractures unsuccessfully treated by previous surgery. The device reverses normal anatomy so that the head portion of the joint is attached to the scapula and the socket portion is attached to the humerus. It typically includes a humeral stem and glenosphere (head) with body and cup components. The device may include screws for implantation and may be implanted with or without bone cement."
33745,Coated knee femur prosthesis,"A sterile implantable device designed to replace the femoral condyles (femoral component) during primary bicondylar replacement of the knee joint or to replace a dysfunctional knee prosthesis (revision); it is made of metal [e.g., cobalt-chrome (Co-Cr)] and is coated with a material (e.g., beads, hydroxyapatite, mesh) intended to improve fixation and stability by promoting bone ingrowth. The device is designed to articulate with tibial and, if required, patellar prosthetic components of the knee joint and its implantation may be performed with or without bone cement."
33746,Humeral centering sleeve,"A sterile implantable device designed to fix a humeral stem prosthesis in the middle of the humeral canal. It is a metal cylinder [e.g., titanium (Ti), cobalt-chrome (Co-Cr), stainless steel] that fits over the distal end of the stem and is implanted into the humeral canal of the patient."
33786,Metacarpophalangeal joint prosthesis,"A sterile implantable artificial substitute for the metacarpophalangeal (MCP) joint(s) of the hand (finger) which has been damaged by rheumatoid, degenerative, or traumatic arthritis. It consists of a single flexible across-the-joint component made from either a silicone elastomer or a combination of polypropylene and polyester materials. The flexible across-the-joint component may be covered with a silicone rubber sleeve."
33961,"General surgical procedure kit, non-medicated, single-use","A general-purpose collection of various sterile surgical instruments, dressings, and materials intended to be used to assist a range of surgical procedures across multiple clinical specialities. It does not contain pharmaceuticals. This is a single-use device."
33968,"Surgical screwdriver, reusable","A tool that fits into a screw head in order to apply rotation to tighten/loosen/remove a screw during a surgical procedure. It typically has a high-grade stainless steel shaft with a distal end dedicated to fit into a screw head that may be slotted, Phillips (cross head), Pozidriv (Supadriv), Torx, Hex (Allen), Robertson (square), spanner head (twin pins), Polydrive, or one-way (clutch). The proximal end of the shaft may have a handle for manual use, or it may have a profiled tang that fits into an interchangeable screwdriver handle, a manually-operated chuck, or a power driver. Some types may include a torque-measuring gauge. This is a reusable device."
33997,Surgical drill guide obturator,"A surgical device designed to fill the lumen of a drill guide during its insertion to a surgical site primarily to prevent tissue obstruction of the drill guide lumen. When the drill guide is firmly placed at the chosen position on the bone surface, the obturator is removed. It is typically a rod with a rounded distal end, which protrudes out of the drill guide, and a knob-like handle that functions as a regulator to control the length of the protruding end and to remove it from the drill guide. It is typically made of a high-grade stainless steel. This is a reusable device."
34003,Hip internal fixation system,"An assembly of implantable devices designed to treat fractures of the hip. It typically includes a metal plate that is held in position with fasteners such as screws and nails, or bolts, nuts and washers. The assembly is typically intended to treat stable or unstable intertrochanteric, pertrochanteric, and/or base of neck hip fractures."
34004,"Surgical instrument guard, reusable","A device designed to be applied to a variety of surgical or invasive instruments to protect the instrument and/or its operator and/or the patient from injury, distortion, or damage during an invasive diagnostic or interventional procedure. It is typically made of stainless steel or plastic materials. This is a reusable device."
34017,Sternal fixation device,"An implantable device intended to be used for primary or secondary closure/repair of the sternum, typically following sternotomy or fracture of the sternum, to stabilize the sternum and promote fusion. It may consist of a single or multiple component(s) (e.g., plates, pins, clips, cables, and/or locking screws) made of metal [e.g., titanium (Ti), stainless steel, nickel-titanium alloy (Nitinol)]. Dedicated implantation tools may be included."
34032,Revision coated hip femur prosthesis,"A sterile device designed to replace the entire femoral component of a total hip prosthesis implanted during replacement of the total hip prosthesis typically due to wear. The revision device is composed of two or more separate segments (e.g., femoral head, neck, stem, and extensions) designed to be joined (modular) and is coated with a material (e.g., porous materials, hydroxyapatite) intended to improve fixation and stability by promoting bone ingrowth. The device may be made of metal and/or ceramic materials. Fixation devices for implantation (e.g., screws and bolts) may be included and implantation may be performed with or without bone cement."
34071,"Intrathecal implantable infusion pump, nonprogrammable","A battery-powered, nonprogrammable, sterile device designed to be implanted in a patient for the storing and subarachnoid administration of narcotics/drugs (e.g., morphine sulfate, baclofen) to manage intractable pain and muscle spasms of malignant or non-malignant origin. This implantable infusion pump (IIP) may enable delivery of a bolus of medication, typically patient-controlled with mechanical restrictions that limit the refill rate of the device, or it may provide a constant flow of medication at a factory-set rate. The device typically consists of a drug reservoir, usually implanted under the skin of the lower abdomen, and a connected catheter placed into the spinal fluid space."
34076,Polyethylene acetabulum prosthesis,"A sterile implantable principal component of a total hip prosthesis (acetabular component) designed to replace or repair the acetabulum. The component is of a one-piece construction and is made entirely of polyethylene (polyethylene cup); it may include fixation devices (e.g., screws) for attachment to the body."
34078,"Endoscopic suturing unit, reusable","A manually-operated device intended to be used in combination with a compatible flexible endoscope (e.g., gastroscope, laparoscope) to mechanically approximate the edges of an internal wound or incision with sutures, typically during a gastrointestinal (GI) procedure. It is typically loaded with a needle/suture assembly and attached to the working end, or inserted through the working channel, of the endoscope. The device will also knot and cut the sutures as they are stitched; some types may also carry and/or knot a ligature. This is a reusable device intended to be sterilized prior to use. See also: Arthroscopic suturing unit; Endoscopic suturing unit, single-use; Suture knot-tying device"
34158,Secondary battery,"A rechargeable set of electrochemical cells, or a single cell, designed to store chemical energy and release it in the form of electrical energy to provide power for active implantable medical devices or external medical instruments, for backup power for programmable devices that must retain electronic information, or to power portable or other medical devices when it is not possible or convenient to use the line supply. The size, shape, and chemical composition of the battery should be specified according to the requirements of the appropriate IEC standard."
34164,Skin-approximation adhesive,"A sterile biodegradable glue made of synthetic polymer (e.g., cyanoacrylate) intended for topical closure of surgical incisions and simple traumatic lacerations that have easily-approximated skin edges. It is intended to be used as an adjunct to standard methods of closure (e.g., dermal stitches) and is not intended for internal surgical applications. After application, this device cannot be reused."
34170,"Vertebral body prosthesis, sterile","A sterile implantable device designed to replace or repair (fuse) the spinal bony segments, or vertebrae, lost or injured as a consequence of, e.g., trauma, deformity, tumour, or degenerative disease. It is typically intended to be used with supplemental spinal fixation and may be used with a bone graft. It is usually made of metal, polymer, or a combination of these materials."
34178,"Invasive breast implant sizer, single-use","A sterile surgical instrument intended to be placed intraoperatively in a surgically-prepared mammary pocket to provide a volume measurement for the appropriate selection of a breast implant (mammary prosthesis). The device is typically a balloon-like elastomer pouch with tubing that is placed in the pocket, filled to an optimal volume, and then removed. This is a single-use device. See also: Noninvasive breast implant sizer; Invasive breast implant sizer, reusable"
34190,"Uncoated hip femur prosthesis, modular","A sterile implantable principal component of a total hip prosthesis (femoral component) typically designed to replace the femoral head and neck; the device is composed of two or more separate pieces (e.g., head, neck, and stem) designed to be joined and is not coated with materials intended to improve fixation and stability by promoting bone ingrowth. The device may be made of metal and/or ceramic materials. Fixation devices for implantation (e.g., screws and bolts) may be included and implantation is intended to be performed with bone cement."
34191,"Coated femoral stem prosthesis, modular","A sterile implantable device designed to replace the proximal femoral neck as part of a total hip arthroplasty (THA). The device is composed of two or more separate segments designed to be joined, typically made of metal [e.g., cobalt-chrome (Co-Cr), titanium (Ti), stainless steel], and is coated with a material (e.g., porous materials, hydroxyapatite) intended to improve fixation and stability by promoting bone ingrowth. Fixation devices for implantation (e.g., screws and bolts) may be included and implantation may be performed with or without bone cement."
34192,Metal-backed patella prosthesis,An artificial kneecap (patellar component) covered with metal on its outer surface and implanted during primary or revision bicondylar knee joint replacement. It is a sterile device designed to articulate with a prosthetic distal femoral component and is implanted on the back of the natural patella with or without bone cement.
34197,Uncoated shoulder humeral stem prosthesis,"A sterile implantable device designed to provide fixation within the proximal humerus and a site of attachment for a humeral head or humeral body prosthesis as part of a shoulder joint replacement. The device is made of metal [e.g., titanium (Ti), cobalt-chrome (Co-Cr), stainless steel] and is not coated with a material intended to improve fixation and stability by promoting bone ingrowth. Fixation devices for implantation (e.g., screws) may be included and implantation is intended to be performed with bone cement."
34198,Coated knee tibia prosthesis,"A sterile implantable device designed to replace the tibial condyles (tibial component) during primary bicondylar replacement of the knee joint or to replace a dysfunctional knee prosthesis (revision); it is made of metal [e.g., cobalt-chrome (Co-Cr)] and is coated with a material (e.g., beads, hydroxyapatite, mesh) intended to improve fixation and stability by promoting bone ingrowth. The device is designed to articulate with an insert and the femoral prosthetic component of the knee joint and its implantation may be performed with or without bone cement."
34199,Metal-backed patella prosthesis,An artificial kneecap (patellar component) covered with metal on its outer surface and implanted during primary or revision bicondylar knee joint replacement. It is a sterile device designed to articulate with a prosthetic distal femoral component and is implanted on the back of the natural patella with or without bone cement.
34212,"Anti-adhesion dressing, bioabsorbable","A sterile bioabsorbable, surgically-implanted device intended to prevent the abnormal fibrous union (adhesion) between one internal body part/tissue to another following a surgical procedure. The device is typically implanted during abdominal or pelvic surgery to reduce the incidence of adhesions between adjacent anatomical structures. It is typically made of a modified cellulose material"
34223,"Uncoated hip femur prosthesis, one-piece","A sterile implantable principal component of a total hip prosthesis (femoral component) designed to replace the femoral head and neck; the device is one-piece and is not coated with materials intended to improve fixation and stability. The device may be made of metal and/or ceramic materials. Fixation devices for implantation (e.g., screws and bolts) may be included and implantation is intended to be performed with bone cement."
34827,Tendon/ligament tunneller,"A long, hand-held, manual surgical instrument designed to tunnel an artificial passageway along ligament and/or tendon tissue to create a connecting channel. It can have a variety of designs: 1) a long, round, stiff rod that tapers to a rounded point at the distal tip with a handle at the proximal end to allow the surgeon to exert the necessary pressure and manipulation to push it through the body tissue; or 2) a ring-handled instrument with long, slightly curved arms that join at a pivot point near the distal end, terminating in short grasping arms. It will typically be made of high-grade stainless steel. This is a reusable device."
34856,"Rigid arthroscope, reusable","An endoscope with a rigid inserted portion intended for the visual examination and treatment of the interior of a joint (e.g., knee, shoulder, elbow). It is inserted into the body through an artificial orifice created by an incision made during arthroscopy. Anatomical images are transmitted to the user by the device through relayed lens optics or a fibreoptic bundle. This device is commonly used to examine structural damage to a joint, often from sports injuries. The arthroscope eyepiece is normally interfaced with a video camera. This is a reusable device."
34858,"Suction system canister, single-use","A cylindrical sealable container typically made of disposable plastic materials used as a component of a suction system, or other system that utilizes suction, and which is designed for the collection of aspirated waste materials (e.g., blood, bodily fluids, rinsing fluids, laser plume evacuation gas) and/or body tissue intended for diagnostic/therapeutic purposes (e.g., histological analysis, autologous fat tissue transfer) from a site of operation. It may be used singularly or in a connected series to provide greater capacity. This is a single-use device that should be appropriately discarded with its contaminated waste content."
34878,Bur cleaning brush,"An instrument consisting of a handle at one end and bristles, fibres or spines, at the other intended to be used to clean burs, e.g., remove debris stuck in the cutting flutes. The bristles, fibres or spines may be mounted along a single plane or radiate out around a central shaft. The shaft/handle may be flexible or rigid and the bristles may be soft or stiff. This is a reusable device."
34949,Bone approximation clamp,"A hand-held manual surgical instrument designed to grip and hold a bone or, being used in pairs one on either side of the fracture, to approximate the proximal and distal segment of a fractured bone during orthopaedic surgery. It is typically made of high-grade stainless steel and is designed with a double hooked, blade-like jaw at the distal end (this hooks over the upper edge of the bone) whilst an adjustable single hook is tightened against the lower edge of the bone through a screw mechanism. A traction bar may be employed to bridge the two bone clamps and using its screw mechanism, the fracture is drawn together. This is a reusable device."
34958,Aneurysm clip,"A sterile, metallic device intended to be permanently implanted around the neck of an aneurysm (a balloon-like sac formed on a blood vessel) for occlusion, to prevent it from bleeding or bursting and to isolate it from the rest of the vessel. The device is typically an alpha-shaped coil spring, with blades that open like jaws, that comes with a dedicated applier for application to the aneurysm. The device is available in a variety of sizes and its blades may be straight or curved. It is typically used to treat intracranial aneurysms; it may also be used to prevent bleeding from small blood vessels."
34959,"Scalp haemostasis clip, reusable","A small, manually-operated and applied surgical device used to stop bleeding from the scalp during surgery on the cranium. It is is usually applied to the scalp using the fingers or a dedicated pair of scalp clip forceps, and consists of two blades that are joined at a midpoint or is made of a single alpha-shaped part. It is typically made of high-grade stainless steel. This is a reusable device."
35012,Endoscope washer/disinfector,A mains electricity (AC-powered) unit intended to be used for the washing and/or disinfecting of endoscopes with water or an appropriate disinfectant solution. It has built-in features to circulate a solution through the lumen (flushing) of the endoscope; some types may also have built-in drying features.
35030,"Electrocautery system generator, line-powered","A mains electricity (AC-powered) device that regulates an electrical current used to heat the electrode tip or wire loop of a cutting instrument used during surgical intervention to burn or sear body tissue. It is used to stop bleeding (cauterization of blood vessels), to treat superficial skin lesions, e.g., the removal of warts, the removal of gastrointestinal polyps via an appropriate endoscope or to occlude fallopian tubes during sterilization procedures. It will typically contain electronic circuits and have a built-in thermocoupler to help control the temperature at the electrode. This is not an electrosurgical diathermy system."
35041,Electrosurgical cable adaptor,A small connector used to join the cable(s) from a handpiece/electrode(s) (active and/or return) to the generator of an electrosurgical system. This device will typically be used when the system components are from different manufacturers and the connections are not compatible. This is a reusable device
35042,"Electrosurgical diathermy system cable, reusable","An insulated metal wire that functions as an electrical conductor between an electrosurgical diathermy system generator and a system handpiece/electrode, to transmit electrical energy between the two that may, or may not, contain information. This is a reusable device."
35043,"Electrosurgical handpiece/electrode holder, reusable","A device intended to be used to house or fix an active electrosurgical handpiece/pen with its electrode when not being used by the surgeon during the surgical procedure to secure the electrical conducting unit, especially the electrode, within the sterile operating zone and protect it against potential adverse events. The holder will typically be fastened to an object within the sterile field (e.g., a drape, anaesthesia dividing arm, operating table). This is a reusable device intended to be sterilized prior to use."
35048,Bone lever/elevator,"A hand-held manual surgical instrument designed to lift, position, or pry up (elevate) bone, other anatomical structures, or surgical material/devices during an orthopaedic intervention. It is made of high-grade stainless steel and is available in a wide variety of sizes, designs, and blade shapes. It is typically a robust instrument with a blunted blade with no cutting edge at the distal end that can be pointed, rounded, flat, curved or hook shaped and a handle of various designs at the proximal end. Some types can have special functions, e.g., for angle joint operations or for luxation procedures. This is a reusable device."
35081,Haemostatic forceps,"A hand-held manual surgical instrument designed to constrict blood vessels during surgery to prevent bleeding. Often referred to as a haemostat (hemostat), it typically has a scissors-like, self-retaining design with ring handles and is made of high-grade stainless steel. It is available in various sizes and the working end will typically have short or long narrow blades that can be straight or curved. The blades are finely serrated to provide extra grip on the blood vessels. This is a reusable device."
35090,Surgical gouge,"A heavy-duty, hand-held, surgical instrument used to remove pieces of bone or other hard tissue during orthopaedic and plastic surgery procedures. It typically comprises a handle proximally which becomes a shaft that terminates in a convex profile with a sharp, semi-lunar, bevelled cutting edge to facilitate tissue removal. It is hand-held by the surgeon who will use a surgical mallet or hammer to manually impart an impacting force to the proximal end of the instrument. It is typically made of high-grade stainless steel and can be designed as a one-piece instrument (all steel) or the handle may be made of synthetic material (e.g., Tufnol). This is a reusable device."
35094,"Cardiac guidewire, single-use","A long, coiled, sterile wire intended to be percutaneously placed into the vasculature, typically via the femoral artery, to function as a guide for the introduction, positioning, and/or operation of a cardiac catheter or a pacing lead into the ventricles or vessels of the heart. It is typically made of stainless steel, with or without coating (coating facilitates movement), and is available in a variety of distal tip designs. It is used during percutaneous transluminal coronary angioplasty (PTCA) and other diagnostic and interventional procedures. It may include devices used to facilitate manipulation (e.g., torque device). This is a single-use device."
35095,"Surgical drill guide, reusable","A hand-held tubular surgical device designed to simultaneously place, angle, and guide a rotating surgical drill on hard tissue (e.g., bone), and to protect the surrounding soft tissue while the drill is in operation. It may have serrations at its distal end to enable firm placement on hard tissue surfaces (it is not bored into the tissue); it can have a handle at its proximal end for holding and manipulation, or it may be held by another device (e.g., orthopaedic jig). The device is typically dedicated to drill size, is made of high-grade stainless steel, and may have graduations along its length; it is not custom-made for a specific patient. This is a reusable device."
35102,Surgical helmet system,"A system intended for the purpose of protecting healthcare workers and patients from cross-infection during surgery. It is typically composed of a helmet frame with a face shield, a loose fitting disposable hood or gown draped around this, inflow and exhaust fans and filters, and a power supply, e.g., a battery pack to drive the internal ventilation."
35110,Skin/tissue hook,"A hand-held manual surgical instrument designed to hook skin or tissue in order to grasp, apply traction, and lift the skin/tissue during a surgical intervention. It is typically a shaft-like instrument with small double hooks at the distal end and a handle at the proximal end. The hooks are curved in opposite directions and when the device is placed onto the skin or tissue to be grasped, it is twisted clockwise so that the hooks lock into the skin/tissue. Also known as a tissue pick, it is not unlike a hooked wound retractor. It is made of high-grade stainless steel and may be supplied with a cylindrical steel protecting sheath for storage and sterilization. This is a reusable device."
35139,Chisel/osteotome blade handle,"A hand-held manual surgical device that is an interchangeable component of a chisel or osteotome blade and that functions as a handle designed to mount a compatible blade of these types which is locked into place. Together, this device and the selected blade, become a single-bladed surgical instrument used by a physician for cutting/contouring bone. This is a reusable device."
35141,"Scalpel, reusable",A hand-held manual surgical instrument constructed as a one-piece handle and scalpel blade (not an exchangeable component) used by the operator to manually cut or dissect tissue. The device is typically made of high-grade stainless steel alloy. This is a reusable device.
35158,"Endoscopic light source, line-powered","A mains electricity (AC-powered) device that provides light of high intensity, often called cold light, for viewing surgical fields and body cavities when using rigid or flexible endoscopes, e.g., arthroscopes, cystoscopes, laparoscopes, gastroscopes. It provides a source of bright light [e.g., typically using a xenon (Xe) light bulb] that is channelled via a light cable connecting this device to the endoscope to illuminate the site of observation/intervention while minimizing tissue heating."
35166,Bone nail driver,"A hand-held manual surgical instrument designed to impart force on another instrument or directly on a bone fixation nail to insert the nail into tissue (i.e., to drive the nail into the intramedullary canal). It is typically made of high-grade stainless steel or titanium (Ti). This is a reusable device."
35205,Rigid nasopharyngoscope,An endoscope with a rigid inserted portion intended for the visual examination and treatment of the nasopharynx (the upper part of the throat behind the nose). It is inserted through a nostril during ear/nose/throat (ENT) procedures. Anatomical images are transmitted to the user by the device through relayed lens optics or a fibreoptic bundle. This is a reusable device.
35217,"Orthopaedic cement, non-medicated","A substance designed to be used in arthroplastic and/or osteosynthetic procedures for the fixation of polymer or metallic implants to the living bone. It may also be intended for use as a filler in the case of bone pathologies (e.g., to stabilize and reinforce vertebral body structures in vertebroplasty and kyphoplasty). It is typically made from methylmethacrylate, polymethylmethacrylate (PMMA), esters of methacrylic acid or copolymers containing polymethylmethacrylate and polystyrene. This device does not contain an antimicrobial agent. After application, this device cannot be reused."
35287,"Bone punch, reusable","A hand-held manual surgical instrument with a cutting/biting action used to cut small cross-sectional pieces of bone typically for biopsy or fixation procedures during a surgical intervention. It is typically designed with a long, thin, two-part sliding shaft (the upper part sliding along the lower part) which is joined to sprung (self-opening), pivoted, pistol grip handles. The working end terminates with a sharp, angled, cutting jaw that closes over an endpiece when the handles are squeezed together cutting through the bone. It is available in various sizes and designs (e.g., it can have upward or downward located jaws) and is made of high-grade stainless steel. This is a reusable device."
35297,"Medullary canal orthopaedic reamer, flexible","An orthopaedic surgical instrument designed to open and enlarge the medullary canal (e.g., in the femur, tibia, ulnar) for the insertion of various devices during prosthesis implantation or fracture fixation procedures. It is typically designed as a long cylindrical device with straight, spiralled, or contoured flutes, which function as cutting surfaces, that is attached to a flexible shaft for manual or powered rotation. It is typically made of a high-grade stainless steel and is available in various sizes. This is a reusable device intended to be sterilized prior to use."
35315,Orthopaedic retractor,A hand-held manual surgical instrument designed to separate and/or draw back tissues to permit access to skeletal structures for examination or intervention. It is made of high-grade stainless steel. This is a reusable device.
35329,Orthopaedic scissors,"A hand-held manual surgical instrument designed to cut bone or cartilage tissue during orthopaedic surgery. It comprises two sturdy pivoted blades that are usually provided with a finger and thumb ring-handle and which cut with a shearing action (i.e., the blades cut as the sharpened edges pass one another as they are closed). It is typically made of high-grade stainless steel and is available in various designs and sizes. Some types can have carbide inserts along the cutting edges. This is a reusable device."
35356,"Suction cannula, single-use","A sterile, rigid or semi-rigid, hand-held plastic tube designed as a conduit for the evacuation (suctioning) of blood, fluids, and other tissue debris directly from the surgical site during a surgical procedure (e.g., open- or plastic surgery). Also known as a suction tube, it is typically a general-purpose device to which the suction system tubing is connected proximally; some types may be attached to a dedicated handpiece that typically have a valve. Dedicated cannula specifically intended for a particular procedure (e.g., bronchial, dental, eye, uterine, oral, and liposuction) are also available. This is a single-use device."
35362,Chemical/physical sterilization process indicator,A sterilization indicator designed to respond with a characteristic chemical or physical change to one or more of the physical conditions within the sterilizing chamber. This is a single-use device.
35380,Tendon stripper,"A hand-held manual surgical instrument designed to excise a length of ligament, tendon or fascia for use as a living graft. It typically consists of a handle and a semicircular shaped trough that terminates in a sharp cutting edge. It is typically made of high-grade stainless steel. This is a reusable device."
35436,Manual wire driver,"A hand-held manual surgical instrument (drill-like) designed to drive orthopaedic bone wires, e.g., Steinmann pins, Kirschner wires or K-Wires (thin needle-like pins of different thickness that are pointed for self-drilling) into fractured/deformed bones for their restoration. This is a reusable device."
35482,Aerobic laboratory incubator,"A mains electricity (AC-powered) device heated by electrical currents passing through a heating block containing simple resistors (usually coils of nickel-chromium wire) for the purpose of growing microorganisms and cells that require oxygen (O2) for growth. Aerobic incubators are typically used for serology and crystallization studies, tissue culture work, paraffin wax embedding and in vitro fertilization (IVF)."
35507,Fibreoptic light cable,"A flexible fibreoptic cable that is designed to transport cold light from a light source to an instrument or other equipment, e.g., an endoscope or a headlight. The fibreoptic bundle is protected within a sheath and can be made of either glass or plastic fibres. Each end of the cable is encased in a metal connector that fits into the respective instruments/equipment and also protects the end of the fibreoptic bundle. This is a reusable device."
35541,Intervertebral disc rongeur,"A surgical instrument designed for introduction between the bodies of vertebrae for the removal of the broad and flattened disc of fibrocartilage through a cutting/biting action. It is typically made of high-grade stainless steel and constructed as a long instrument with one sliding and one stationary rod, each having a sharp-edged, scoop-shaped, jaw at the distal end which is activated through two pivoted handles that, when squeezed together, close the jaws to bite (cut) through tissue. It is designed to withstand the forces which are applied in order to bite over such tough tissue whilst having a thin enough profile to enable entry into this narrow space. This is a reusable device."
35559,Bone rasp,"A hand-held, manually-operated, file-like surgical instrument with a ridged surface of coarse grooves or teeth designed to be used in surgical procedures, typically orthopaedic surgery. It is made of high-grade steel and is used to scrape and smooth the surface of bone. It will have coarse cutting ridges along all or part of the distal working end and a handle at the proximal end. A rasp differs from a file in that the grooves or teeth are much coarser than a file so that they will not clog so easily and render the instrument unusable until cleaned of the debris. This is a reusable device."
35615,"Surgical staple, non-bioabsorbable","A length of wire, typically U-shaped, designed to mechanically fasten internal tissues together (e.g., the subcuticular closure of skin or the approximation of the ends of bowel) to facilitate healing typically in abdominal, thoracic, gynaecologic, orthopaedic, or plastic and reconstructive surgery. The device is made of a material that cannot be chemically degraded or absorbed via natural body processes (e.g., implant grade metal). This is a single-use device"
35620,Arthroscopic drainage cannula,A sterile rigid or semi-rigid tube that is inserted into a joint following arthroscopic surgery to drain fluid. This is a single-use device.
35647,"External orthopaedic fixation system, reusable","An assembly of devices designed to stabilize fractured bones, other than those in the vertebral column, to promote treatment and healing. It typically consists of an external plastic and/or metallic fixator (a framework) and other external and/or implantable components such as clamps, rods, rings, cams, bushings, collars, bolts and nuts; it may also include some instrumentation (e.g., screw drivers, wrenches, drills). It is used mainly to help the healing of long bones such as the femur, tibia and humerus, as well as fractures of the wrist, elbow, knee, hip and ankle, joint fusions, and limb lengthening. This is a reusable device."
35649,"Ligation clip, metallic","A sterile, metallic, non-bioabsorbable clasp designed to be implanted around a blood vessel, lymphatic vessel, other tubular anatomy, or a tissue bundle for permanent occlusion. It may be used for ligation in open and endoscopic (e.g., laparoscopic) surgeries"
35685,Orthopaedic bone wire,"A wire intended for the fixation of bone fractures that may be implanted or used short-term (e.g., to hold a plate in the correct position during an intervention). It may be used: 1) as a cerclage wire to aid bone fixation; 2) in a loop or figure-of-eight configuration to reattach, e.g., the tip of the elbow (olecranon), tibial tubercle, or greater trochanter; 3) to augment bone screw/plate fixation; or 4) as a Kirschner wire or K-Wire to stiffen (arthrodese) a toe or finger. It is made of metal [e.g., stainless steel, cobalt-chrome (Co-Cr)], and may be malleable or rigid; some types include a nut designed to be attached to the wire to prevent wire migration. This is a single-use device."
35687,"General-purpose implantable infusion pump, programmable","A battery-powered, sterile device designed to be implanted in a patient for the long-term or intermittent infusion of narcotics, short-acting anaesthetic agents, antineoplastic drugs, and other agents. This implantable infusion pump (IIP) delivers drug doses from its implanted reservoir which is controlled by drug concentration and/or by radio-frequency (RF) signals from an external programming device. A catheter connected to the reservoir is inserted into the epidural or subarachnoid (intrathecal) space of the spinal canal or into a blood vessel."
35692,Rigid endoscope obturator,"An endoscopic device that is a component of a rigid endoscope assembly that has a distally rounded, solid, head or end that is placed into the sheath of a rigid endoscope in order to fill out the sheath's lumen (open end), thereby assisting its insertion into the body and protecting against damage to the patient. This is a reusable device."
35703,"Universal foot-controlled electrosurgical diathermy system conducting unit, single-use","A sterile electrical conductor comprised of an electrode handpiece with cables and an active electrode, typically non-detachable, intended to provide an electrical connection between the output terminals of an electrosurgical diathermy generator and a patient. The energy emitted from the device is used to cut and coagulate tissue at a surgical site on the patient. The operator regulates the energy with a foot-switch. This is a non-dedicated device intended to be used in multiple clinical specialties. This is a single-use device."
35720,Line-powered shaver system handpiece electrical cable,"An insulated electrical conductor designed to provide an electrical connection between the control unit or generator and the handpiece of a line-powered shaver system to transfer low-voltage electricity (e.g., 24 volt) and signals. The device typically consists of metal wires surrounded by non-conductive materials and terminal metal connectors (e.g., electrical plugs consisting of pins and sockets) that lock into place. This is a reusable device."
35788,Orthopaedic bone calliper,"A hand-held manual surgical instrument consisting of two legs hinged at one end designed to measure various bone dimensions (e.g., diameter or length) required for orthopaedic procedures. It has an attached scale to indicate the measured units. This is a reusable device."
35797,Orthopaedic cerclage applier,"A hand-held manual surgical instrument designed to position and secure or bind an orthopaedic cerclage loop, clamp, or wire. This is a reusable device."
35798,"Surgical clip applier, reusable","A hand-held manual surgical instrument designed to apply small atraumatic clips for the ligation of blood vessels, or similar tubular anatomy, mainly to prevent and/or stop bleeding (i.e., haemostasis) during an open-surgery procedure; it may also be used to apply small clamps (e.g., bulldog type) to tissues. The device is typically a metallic, forceps-like instrument with flat, curved ends to hold and deliver the clips; it may have an interchangeable clip holder containing the clips. This is a reusable device after sterilization."
35886,"Body aspiration needle, single-use","A sterile, sharp bevel-edged, hollow tubular metal instrument designed to remove fluid from a body cavity or to obtain a biopsy specimen from a patient through aspiration; it is not dedicated to a particular part of the anatomy. The device is typically longer than a hypodermic needle and usually has a wider hub. This is a single-use device."
35917,"Basic suction tip, single-use","A sterile device that is attached to a suction system via the distal end of a suction tube and used for the rapid removal of bulk matter (e.g., vomit, mucus, tissue debris) from a natural or surgical cavity. It is a general-purpose suction tip and will typically be designed with a finger hole in its handle portion which is used by the operator to control the level of suction applied during the procedure or treatment. It is typically made of plastic materials. This is a single-use device"
35948,Arthroscopic probe,"A hand-held manual surgical instrument designed to be inserted through an arthroscope to explore, measure, and/or perform therapeutic procedures within a joint. This is a reusable device."
35958,Endoscope video camera,"An electro-optical device (e.g., a CCD) designed to be attached, either directly or with an adaptor, to a flexible or rigid endoscope to allow real-time viewing of the internal anatomy during an endoscopic surgical procedure and to obtain moving-picture documentation of endoscopic findings and procedures. The device is designed for transducing visual images as a sequence of electronic data following a pre-established standard; the images are usually displayed sequentially on the screen of a monitor as a video image. The device may include audio recording capabilities."
35965,Ventriculo-peritoneal/atrial shunt valve,"A sterile implantable device intended to function as part of a ventriculoperitoneal or ventriculoatrial shunt to regulate the pressure and flow level of cerebrospinal fluid (CSF) from the brain to the peritoneum/heart right atrium in the management of increased intracranial pressure (e.g., caused by hydrocephalus). It consists of a mechanical valve with catheter connections and is made of plastic and silicone materials. It typically opens at a pre-set pressure and may be non-invasively adjusted using a dedicated programmer."
35967,Self-retaining surgical retraction system ring,"A frame-like mechanism (e.g., a large ring) designed to be placed around the incision site and to which surgical retractors are mounted and locked into position to temporarily part tissue (e.g., hold the edges of an incision open) to expose internal tissues or organs for access during surgery (e.g., cholecystectomy, retroperitoneal resections, nephrectomy, hysterectomy, appendectomy, hernia repair, mastectomy, foot and hand, and vascular). The retractors may be blunt or hook-like, sometimes with multiple hooks. It is typically made of high-grade stainless steel and synthetic materials. This is a reusable device."
